"ZIP.CODE","Name","Geographic.Unit","Median.Household.Income.2020.Estimated.","BOROUGH.NAME","mean_sale","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone","coordsx","coordsy"
"10001","10001, New York, NY","Zip Code",88726.765507077,"Manhattan",NA,40.75065,-73.99718,"New York","NY","New York",TRUE,NA,24117,15153.7,36061,"New York","{""36061"": ""100""}","New York","36061",FALSE,FALSE,"America/New_York",584656.385112973,4511561.07681472
"10002","10002, New York, NY","Zip Code",36528.70048599,"Manhattan",NA,40.7157,-73.98638,"New York","NY","New York",TRUE,NA,74479,32735.5,36061,"New York","{""36061"": ""100""}","New York","36061",FALSE,FALSE,"America/New_York",585612.909248475,4507691.8577264
"10003","10003, New York, NY","Zip Code",111096.9723191,"Manhattan",NA,40.7318,-73.98911,"New York","NY","New York",TRUE,NA,53977,36153.3,36061,"New York","{""36061"": ""100""}","New York","36061",FALSE,FALSE,"America/New_York",585361.74865914,4509476.40889996
"10004","10004, New York, NY","Zip Code",154770.49947494,"Manhattan",NA,40.69465,-74.02106,"New York","NY","New York",TRUE,NA,3335,2391.1,36061,"New York","{""36061"": ""100""}","New York","36061",FALSE,FALSE,"America/New_York",582709.744476992,4505321.94819696
"10005","10005, New York, NY","Zip Code",172478.01354738,"Manhattan",NA,40.70614,-74.00891,"New York","NY","New York",TRUE,NA,8701,46219.5,36061,"New York","{""36061"": ""100""}","New York","36061",FALSE,FALSE,"America/New_York",583721.9137254,4506608.91801696
"10006","10006, New York, NY","Zip Code",170669.8423283,"Manhattan",NA,40.70968,-74.01284,"New York","NY","New York",TRUE,NA,3092,12793.4,36061,"New York","{""36061"": ""100""}","New York","36061",FALSE,FALSE,"America/New_York",583385.507499329,4506998.14225127
"10007","10007, New York, NY","Zip Code",239390.2,"Manhattan",NA,40.71395,-74.00764,"New York","NY","New York",TRUE,NA,7408,17931.6,36061,"New York","{""36061"": ""100""}","New York","36061",FALSE,FALSE,"America/New_York",583819.403370407,4507477.08926415
"10009","10009, New York, NY","Zip Code",61473.648243885,"Manhattan",3200000,40.72633,-73.97861,"New York","NY","New York",TRUE,NA,58293,36487.5,36061,"New York","{""36061"": ""100""}","New York","36061",FALSE,FALSE,"America/New_York",586255.469079134,4508879.46293392
"10010","10010, New York, NY","Zip Code",120352.87619845,"Manhattan",NA,40.73911,-73.98265,"New York","NY","New York",TRUE,NA,35906,36324.6,36061,"New York","{""36061"": ""100""}","New York","36061",FALSE,FALSE,"America/New_York",585897.850261468,4510294.17107884
"10011","10011, New York, NY","Zip Code",130343.20919214,"Manhattan",2421900,40.74187,-74.00052,"New York","NY","New York",TRUE,NA,49949,29140.3,36061,"New York","{""36061"": ""100""}","New York","36061",FALSE,FALSE,"America/New_York",584385.522043614,4510583.21788549
"10012","10012, New York, NY","Zip Code",109572.58734851,"Manhattan",NA,40.72584,-73.998,"New York","NY","New York",TRUE,NA,23318,27849,36061,"New York","{""36061"": ""100""}","New York","36061",FALSE,FALSE,"America/New_York",584618.596259675,4508806.20287414
